id_cliente,nombre,apellidos,dni,email,telefono,fecha_registro
2,Diana,Ramírez,20400001,cliento1@gmail.com,907000001,2024-12-19 22:37:26.357339
3,Pedro,Torres,20400002,cliento2@gmail.com,907000002,2024-10-27 10:23:48.161089
4,Luis,Cruz,20400003,cliento3@gmail.com,907000003,2024-11-01 15:06:32.755346
5,Diana,Cruz,20400004,cliento4@gmail.com,907000004,2025-02-21 12:00:45.249779
6,José,Pérez,20400005,cliento5@gmail.com,907000005,2024-12-06 05:21:39.258413
7,José,Fernández,20400006,cliento6@gmail.com,907000006,2025-01-07 20:39:54.103843
8,Diana,Salazar,20400007,cliento7@gmail.com,907000007,2024-12-08 19:38:02.469991
9,Rosa,Fernández,20400008,cliento8@gmail.com,907000008,2024-10-30 11:12:49.092362
10,Lucía,García,20400009,cliento9@gmail.com,907000009,2025-02-09 06:37:07.016733
11,Ana,Fernández,20400010,cliento10@gmail.com,907000010,2025-04-25 20:46:46.54443
12,Lucía,Rojas,20400011,cliento11@gmail.com,907000011,2025-07-21 02:20:28.111498
13,Lucía,Cruz,20400012,cliento12@gmail.com,907000012,2025-01-28 06:19:31.410735
14,José,Flores,20400013,cliento13@gmail.com,907000013,2025-03-20 14:47:24.587573
15,José,Rojas,20400014,cliento14@gmail.com,907000014,2025-06-17 12:44:56.166991
16,María,Torres,20400015,cliento15@gmail.com,907000015,2025-05-14 04:22:35.451858
17,Juan,Flores,20400016,cliento16@gmail.com,907000016,2024-10-24 19:13:46.612727
18,Lucía,Torres,20400017,cliento17@gmail.com,907000017,2024-12-08 12:51:53.672182
19,Ana,Flores,20400018,cliento18@gmail.com,907000018,2025-03-04 18:33:13.405259
20,Ana,Torres,20400019,cliento19@gmail.com,907000019,2025-01-08 07:59:30.870871
21,José,Salazar,20400020,cliento20@gmail.com,907000020,2025-01-09 04:58:34.659938
22,José,Ramírez,20400021,cliento21@gmail.com,907000021,2025-01-27 18:22:48.397475
23,Carlos,García,20400022,cliento22@gmail.com,907000022,2025-05-29 13:35:05.984415
24,Ana,Cruz,20400023,cliento23@gmail.com,907000023,2025-01-26 15:03:39.134836
25,Lucía,Cruz,20400024,cliento24@gmail.com,907000024,2024-09-16 23:05:29.406732
26,José,García,20400025,cliento25@gmail.com,907000025,2025-07-07 21:20:51.884653
27,Diana,Rojas,20400026,cliento26@gmail.com,907000026,2025-08-26 01:54:44.870152
28,Carlos,Salazar,20400027,cliento27@gmail.com,907000027,2025-09-03 23:59:53.521833
29,Juan,Cruz,20400028,cliento28@gmail.com,907000028,2024-11-29 08:44:39.727047
30,Diana,Torres,20400029,cliento29@gmail.com,907000029,2024-09-25 15:50:23.494354
