id_empleado,nombre,apellidos,dni,cargo,id_tienda,fecha_ingreso
1,Empleado_1,Apellido_1,10000001,Vendedor,8,2022-02-12
2,Empleado_2,Apellido_2,10000002,Cajero,2,2024-12-12
3,Empleado_3,Apellido_3,10000003,Vendedor,11,2024-03-13
4,Empleado_4,Apellido_4,10000004,Cajero,14,2021-05-07
5,Empleado_5,Apellido_5,10000005,Vendedor,12,2023-03-09
6,Empleado_6,Apellido_6,10000006,Cajero,12,2021-09-17
7,Empleado_7,Apellido_7,10000007,Vendedor,15,2024-03-15
8,Empleado_8,Apellido_8,10000008,Cajero,9,2022-10-26
9,Empleado_9,Apellido_9,10000009,Vendedor,4,2023-07-31
10,Empleado_10,Apellido_10,10000010,Cajero,2,2023-04-06
11,Empleado_11,Apellido_11,10000011,Vendedor,10,2023-03-27
12,Empleado_12,Apellido_12,10000012,Cajero,8,2024-02-03
13,Empleado_13,Apellido_13,10000013,Vendedor,4,2024-10-18
14,Empleado_14,Apellido_14,10000014,Cajero,10,2021-01-19
15,Empleado_15,Apellido_15,10000015,Vendedor,15,2023-11-14
16,Empleado_16,Apellido_16,10000016,Cajero,13,2020-12-03
17,Empleado_17,Apellido_17,10000017,Vendedor,3,2022-05-22
18,Empleado_18,Apellido_18,10000018,Cajero,3,2021-12-03
19,Empleado_19,Apellido_19,10000019,Vendedor,8,2025-07-06
20,Empleado_20,Apellido_20,10000020,Cajero,4,2023-12-05
21,Empleado_21,Apellido_21,10000021,Vendedor,8,2025-05-13
22,Empleado_22,Apellido_22,10000022,Cajero,9,2023-06-29
23,Empleado_23,Apellido_23,10000023,Vendedor,7,2024-02-24
24,Empleado_24,Apellido_24,10000024,Cajero,3,2024-11-27
25,Empleado_25,Apellido_25,10000025,Vendedor,14,2020-10-27
26,Empleado_26,Apellido_26,10000026,Cajero,7,2023-10-08
27,Empleado_27,Apellido_27,10000027,Vendedor,10,2021-11-24
28,Empleado_28,Apellido_28,10000028,Cajero,3,2025-07-17
29,Empleado_29,Apellido_29,10000029,Vendedor,7,2020-12-03
30,Empleado_30,Apellido_30,10000030,Cajero,10,2021-07-08
31,Empleado_31,Apellido_31,10000031,Vendedor,14,2021-09-05
32,Empleado_32,Apellido_32,10000032,Cajero,11,2025-04-15
33,Empleado_33,Apellido_33,10000033,Vendedor,14,2022-07-03
